UID,VERDICT
25ca3d36cc8af3ca00458e0b03d8e479348f369f,1
6572c93686a1ade674d3d3f91d8d8ecf7f032ed9,0
8cc9b26251dc2e3c1d8e04d94a1ebeecb7b2911f,0
6d721e2e962c579a1030818aec94483b567d72bc,0
3306a3d19f4d6ed5de0a09e3bc5e4d536757852e,0
e16c052a5fe4c41c8708601bc6037466c54079a7,1
ce2b853f37e8946efafdd03502ce9dd9b4f6cd0b,0
8131fb3abc1cac7af1b6d9c1dd299fe8d0b53595,0
8451dcc134d3ceeb499853d7c0e847aeb3cbcdaa,1
2c3f8a2924ddb4b34ba75d4f2926233a7fd5dbb1,1
0e50ca677b30a7b5242dfb92155e98412f3f106d,0
f4982641b2ee91bdaf6a059612416f9aeb34e840,0
8dcc416dcc95072768be846cf33d46fd264a9d3f,1
6d2d047a4e71a8ed8b98542f1e2ac06a257da014,0
671742120e24cf80605f6bcaea6213ffaea8e9ab,1
39c76f7536d7872f8205be2f612d665065ac7df6,0
6fc34765a708b1fac8dde1ae522e10924e79d7cc,1
bccbb5f23a06d8e56d6ee2673578f574435c2858,0
4a5132c143c77093405ac7f475f97e8b84863c3d,0
6638b0bc8088c767aea3a36e249f4521ff6bc4bd,1
0ae1d132399d7b4fb0cd2d7a87ef6b387a5dc07b,1
d5a3cdc3381bed7dd3fc2272be8b741d80029d05,1
724a805a692d26d741e3cdf7d766accbaa094716,0
c31be54b828e3aadea092398edf2de31b14ac63c,0
9545339a564c68f85e414f8ce7fed35788b8ac58,0
39874d738101e8382eaaa1cfcecc9890577b50ea,0
b8eed00965c4c879a9fc4248600402df277d5e0d,0
cabea32e2d59bb849a8ee28b9893f0d31ca1a29d,0
0791de154d60a7e863f054a5f2bf98af01380999,1
db5b87c0ad1347464880220ffacbe0420bce288b,1
a602b06f8c09c1f85be264969e29acb071e4fb86,1
62503054d13cbf9f7bf870569af0c8e5df496d97,0
55c34c029198693f24cdd8c8c1465dbdb71c5c0a,1
3ec479cf50bbad5fec52d21e2a84175e40c4baf8,1
11f2a7119439ee3b9a9bd1de188f34930f2d0555,0
4ad7d93c82fd6bf9683f61f6d698140c11b38717,0
573952c8c5c2e5ef9233a062df689e8fa6b71311,1
9d730d1f0142e0e6dd1c730b38e87d4befb129b3,0
8fbb44e8d282683ffe94d933b71b0069fb393566,1
f07726f8a12c13e33dee365296d73d5b49aa438a,0
562b5deca54a240a169732d2087292f2178932cf,0
796e81f2d1217323a160e10d56fd498a728dd169,0
1de7fd630d8387d80fcc19ea9c7493cb130c733f,1
b60f7796e0b5fa52c6fcbcbbf5f05628ab6bfc8e,1
e172e90507c76c81d2516fd67ebae553b79e2849,1
f5245205c141a392b8a935e726ec3f416380b1cc,0
21f666ed31862b9a77bdc81eaa4cabcc6f6fddad,0
760815eca02b2567122a21eb471bf40ec293b6f8,0
9bbb7d5d31a8128d285c9da09945c92895a4af61,1
5e4e7ec306a0a42b0fd6194a046fd4356ff9180c,1
7d1347b72a218d9ee284fb6b1e4a1f799242bf89,0
7990fb6c6a2a57a1c8506f4878155ef70d88542c,1
0fe9c8b4e93292aaa703a6cc57642313f9f9f69a,0
db2a834018e49eb1d2939446ffb74f243dc664a7,1
18d5b2d2ecafb459a3fa589c4debc71627b84ef0,1
4adbd8efdc6375a86e64c4beef66aac8d000f1ca,1
80d7ecd64a23f149ec29d0e728193dd4c2f24a0d,0
893cdf016e6832f082aa4da108c67d3c8f9e37a3,0
b155d0d12cdf12c90eb642d670f41386ad93a764,1
da6efcb7101c7c5e703f7f3982715f0870b738be,0
4ba77bfcea8fa410ae861b02adeb68f2530eb4b6,1
ba1115e9a7c68b66893f8639a9b1e86c3564f2c2,1
2decb7665f1228e164c7b51c198a6dfd8e3ccfee,1
e83db577290791e2d9537d07a149db86e53cbd44,1
da64d91728d297078c3b746d538e40f35b8608f6,0
57d7997bbe092727786b0b07b8a03f1e92dfc189,1
2a1e4466694ec755d1b0e42b702dc87709f9cb27,0
e560a241fcea667d5b05e931678f00c9c7776033,1
b1809b7f43a86cefe6b5fdd296da04e7f8399812,0
fc444f58fd95066d5e5f19e0d77a9ba2465c6ef3,1
98ae3db0abdc4c7658123ce97c6ff987f600c19e,0
6267f1b26b4dca6ba9fd55c105104cf4de8df9fb,0
063cd539839d8442e099dfbf1f0771abee66525f,1
5c94904a01daef7d32ed2527ccb4eb5ff5797d24,0
d76e6442eec2e309c8eedfdba89e699ed67e8120,0
d4ca1929a0c0c6f52140d367fab6fd71d0b35d46,1
f158bdcc82c0320311557764d7c4519c4d4997ef,0
e017c555314dfa0b970a1bdb270ae934c4f50907,1
9c0c7fc14fb7c09ca506b1282934a6ca3fc3a561,1
c8daa0debb2cd5a5ea99a18a2ab7b3aaa505455d,1
24b6c362af71398f0d612a195c8cfd27823bc8c4,0
765d329c39055f82d1b2f26f4e8840b5084e58a6,1
7cc7c66713e2daf9bc562401683f32437900ebb8,1
0a2978fd197a141b259c7f81d5d699c789435097,0
cecb613eb2a6c2c83008ae4bec485c5bd3e8ef64,0
1010be72b7f317efe17006d36044b294d816f6a6,1
78252a635bc43f867272a30152d2a5d069f95d47,0
9af757dc568b8885bef377f4fe7c07eadb9ac806,1
0c9290304eb7ea41f4339b80149d0b4c627059ab,0
a4f233ff08832f77badcd9a29161fa751dd5f6e9,1
4b0844f41f87a5681214b3068f892cae34d6e351,0
9af752cd9d8baf290df2eeb088ec7a52083fb3b7,0
e48efd969fae62ca6b5f3359209e8a69f972ee1e,1
6009f3bb1decd7972a0c3b71bb42979d7a2b9402,1
3a7644de1eed1bbef739f585ed015266ad77f53c,1
53d5fb8569ca21c938f3c2c97e738310c06bc8bd,1
b94c8f86303dca1b5db1523c4ac88a9378558d7d,0
ef24de7f306cebc129335f1676f186d197a34353,0
24df96adb291104287fa25ba418b46b89b4d3b4d,1
59f7ce9c991f5189630be29fa5f9a41261ee6d5c,1
a0279ac3f1b048c777a059f0bbdada34d29e7d31,0
4d306c5943a0d237340ded8b31e7cce21623e809,1
5951787c0ca4183c422b63c497a0931e3870eb4e,0
7cc7c4a4949bd9c20e43f104c58cdd98e442e55c,1
62cb25f64f0bd1169316de18b781de27136e1427,1
99603f64c767ab03057e428c3bed43af0bc3981b,0
d1ad48a2d840e372613836610995060c68d06175,0
721b2b82266d81a4a32c486190dd183c06c5ffce,0
da841bd4fcd3d3b347ea5fbb6bf7794ebf6b6b20,1
58ec0a61b9d5ed79abc6bb7b6af83a53f86179dd,1
f389bf004ea7e39c37f4e577e10ffa737900e526,0
3566af542fd45c085bf1d75088b24abd2c2559fc,0
68141f0310a879bf89c47736be7eeacac25c3396,0
3b5557b9016e867669a064e298534385ebce554a,1
524ab964330d91907c8370346824c1fdffe94a53,1
b452ec5db8ca6ddeb82a7894b1686dfb8b9c6ab1,1
f34b524245f428cbc216917df0da1ad7f20966b9,0
12075ba8b722bce072eb9cf38fb45bc2a42acc9e,1
5bd65016e4920bb783a3d4fbc3d2f77bc637aebd,0
e2a351e5c913206c22f71fcfa9c53046b8fe33ee,0
801a648d23fed2a30c9e3aa2cd53edf7a59c94f7,1
3c8caf28324bfbb4e286d150cad3f87907d4f7ac,0
acc51032ca653dee5760e3a3cbe406377ff4ebe0,0
1c4ef4fb7fbbf75c11dc56f2170af7173a511ae7,0
1e0a96e4f4386a9eb28540cb5927682dce3dc6f4,1
ff36a4bbf5b303b965abe4b8eae5bfa931ad2a49,1
9a5cc01c999777c19d693f46891190eb574650c4,1
e49ead482550d05c449620f865b80b51cafeef06,0
1b89a9eb39c8e8eca84d790831976a4c125503ec,1
5c00c42e96637702d05407facce517d4ed12092d,1
116ebf3683b9ec992ea6c5a15f62801c37d7ac06,1
421837d22aa222bb06ec302163310f348ad22fe5,0
0e51492db481ef066d8dcc58caab4f862cfada72,1
3f518d8ad2b7ef53dfdccc1965ac8865a3571bbf,0
163f108717cf9e63544d954122acd35fcb3b9f3f,0
d3219a990b545a257a3d4cd1f494c8391110dcbc,1
3886d2ed9dbc100ee943b62849eb01be1719f630,1
458e576c9246aded07656a2ca726fb7ca46dcc18,1
b90317da44c713da4de5e63eee320734a6efa814,0
da1a7e655345dd7c1d052be0a79c20474b4cd84f,1
5a6e3cd5291111ac0befee2983dcdfbb32be18cc,0
2e116b3a2350dc0db77c5de7bcb200e8f2751720,1
a7835bd397b190df00f9162fe4a83fa1c7ba8fca,1
5741a2053b44bf1f3261fe7ecc3939d55201b0e6,1
46486af74dd1c4db222a3819b7c3d37d0f1c724b,0
b987cf65c0bd7818027344c3ebef57346af0402b,1
46cf359a2b27d62fbf00a0cd3b0a96608ba5c9f9,1
7d8cc5a74d09a19f3d12772f9e0b5dbf009c251b,0
ace0a6ed915d006735ab32b5593514b6aa4e6db1,0
55f519ae454afffbd1528e54b56f0ddee9070072,0
4e5aeef61fa3ff839c555abf68cf1b725ae94fdc,1
0b17ccc34542c9fa30e43a8214b7c67a8c6d328e,1
e5e3751650de8df47aa3e5e2c1a7679fd5dc03a7,1
9c43332d7ae90f48ba15f882edd547a801386ce3,1
cccc874eb38a991179a5ea56639a8145b4badfaf,1
29bb6e6a18a8d47e80025a6f1a0c3c4653871b3e,0
fb5365c879ead09bcbd7966b1d571fabec07fee4,0
b50359406f97dcc254cb8d22ea62077e3946bee4,0
47f99588b023bc6b2ab0f7b3c0d7f6fd2468b16d,1
44b3ac3cf4002386d66179463ec152a565eb1543,1
a008cb4208467c01ddab58d62790a28ec3fa2cd7,0
a6fe518ceaa2873ea795aa03953e1b8c6fbe7095,1
9a1eb63e4087a61c09771ac6d664f6a426812ac1,0
a80c8043cbf5790687a2bb04680e77ec12b28c17,1
975c422f0190129cf8f0303f5d435cfbc55df589,0
2753fa1769dfa80471a676cb480b3b2396ee6894,1
fa12f5cf86d194edfbb453a90a523890e86d223c,1
01eb8b569b48c77c0797a1569817917762f88dcd,0
4b7eeefdf2be6366fec5ff019b9b1445c2472485,0
65e156b32b1ff5b4dccdbe0aab349c1aad82dc59,0
bfa62a459bfa3fb5430929170f687670553e95c3,0
fddee5b0a7206433f4f87b6b228f8630e6e63bb5,0
18066b4f7680d31828face945066481a730176ea,1
82b79f2df8a011b9a776e0ea71b64ae4bf824131,0
8ad15f43d303187defc2e311c59088c89d70d7fd,1
7539dc7afacc2f2646cf8f4668d870bbcf8f1c23,1
0e1bf4a6522ee9d106bf0028e82483230e926395,0
2aa0127fd0805a7dcc28248315246484cb532d4a,1
19416054040aadfccc3aafbb650fff0f61fd03ac,0
4d58faad59a572b4a0b5d2a3937f66f8712a8eea,0
a6aa191c2954e3c6e49e9be12dcd3027f20905b5,1
9caa058275f2311d8fd978db0503409ede224e43,0
cce884e007086bafa51acd81e86802b90fd21c10,1
9b63600021ab158cf6712f40cd936dbbb41388b9,1
cef18a0ba696fd77b8ceadc06a87a0a131419d7f,0
502fac65171125b82848f0b33d1199da6844c7bd,1
e991edf915d9e0395468c25274da5595ab53c5b9,0
cbfae37035ca8a85f4bbea4155edc117feccb4d2,0
c59f4d36996e482e633ad8d2ef187255f1fd0fdd,0
f58aceade7e9fb121453c7dddab851a18cbc3044,1
32343215d72ee8c023a13fedbf84e53c9b943d83,1
88c45e8d106bd480ca54fdda3c3c5e61ec284851,0
1183ff0cee60d2da9b4512fa02c8fbb277fc3dfe,0
753c3c7635a9a12d88f59686f000e8d872d09db9,1
bbe835856d04879c56506f2c1c3aa718d3331e68,1
27a6209204f90fb6a05078fce87684a9119bb2dd,1
d2f49fa83f7d15e9c64bf462b654f39ceeb58abc,0
38009483f08ba65aee5571f1a5a184e6ac7c4d4f,1
09976f173a7acccbe81a67e6d4ea2cb83ee1c93f,0
f68c83cdcdfe305d133bbb1b96e7c0ab628bf63e,1
e7cfe8e1ec2452b885b81156a763ecfe5dd0e924,0
e766f84a4942cac6145c31b9e319fb722ec068f1,1
1c18c6cca9a10de2c3e6ccda882aa5e1f414e5ae,0
39435c13bb055bb1b99cee48c87fcee973eff06e,1
2d6ad6b539fdbb233a8fd468c97624f825e14f0e,1
583a0fe5f8b1688887124dc8af7c8f243dadddc3,0
d45bf80352cb27a575e8fc6da57b51a016590921,1
3107b2a4957f55c651ae355045d8b08e8d06783c,1
d8c910004fc0629bb5c92e0eb7a1a987336c2827,0
300dccfac8087292fd763db1da48663d4f718e3b,1
0356b7b3bfeb68eac24ae746afa83b29ade88b7b,1
be4c32c7da7bc7a9434ea9ea920a3e5a84d7465a,0
3f726cbfbc3c052c81515dc260199eed2376cd7e,0
8086500a49d7713d8ed94c597f136361bc7a4f62,1
49fa9721148efacb69914d72415328c4d4c19497,1
a5f31bf433ecc1ec51173fa3679b07c1126a499d,0
34050cb615bfc5bff212d90383ecf0fb71ee7129,0
b915579dce8d2f52740fe454778664ffc4c6b0d0,0
a5a33ff8b160bedd20525e92df94127355a22066,0
6c53c3a5be15af5db11fc8fdea14305f4b2f846a,1
3a709bea845cab1f133afcee79f7c00ac16d1c78,1
fb4a12bd19dfc29cd5ebe3d724da59704635be28,0
c97f181a708144db2a7e4d58f221f67f4e25ed5b,1
259cd86a45851cf70e5602739c35956b0325ed19,0
b945c54f7e52c2c476d6c976c1016ef19e2dfbd2,0
4f003743c098aefb39dd7486998891d7fde1c3a0,0
72d74d53032a1465b141dccd30942277c58eb6d3,1
63f21606a68b7d60a01dd95420c96521b30f74c3,1
0778404baf7159620dcc02baea3d7b9a369c003a,1
cb06cd75f0b75525592de1d3059b64cde2000e63,1
bcaea3d48891d50426f9cf27b12f423d87ee12ce,1
